"payment_month","user_id","game_name","total_revenue","new_mrr","expansion_revenue","contraction_revenue","back_from_churn_revenue","churned_revenue","churn_month","language","has_older_device_model","age"
2022-07-01,"3Whh6FLR1MSfsuHKVdCEYQ==",game 3,15.78,,,-4.35,,,,uk,true,21
2022-08-01,"3Whh6FLR1MSfsuHKVdCEYQ==",game 3,17.16,,1.38,,,,,uk,true,21
2022-09-01,"3Whh6FLR1MSfsuHKVdCEYQ==",game 3,19.74,,2.58,,,19.74,2022-10-01,uk,true,21
2022-12-01,"3Whh6FLR1MSfsuHKVdCEYQ==",game 3,26.73,,,,26.73,26.73,2023-01-01,uk,true,21
2022-06-01,"3Xuq0acIoGEgw19qflIoog==",game 3,12.69,12.69,,,,,,uk,false,25
2022-07-01,"3Xuq0acIoGEgw19qflIoog==",game 3,41.73,,29.04,,,,,uk,false,25
2022-08-01,"3Xuq0acIoGEgw19qflIoog==",game 3,19.86,,,-21.87,,,,uk,false,25
2022-09-01,"3Xuq0acIoGEgw19qflIoog==",game 3,34.32,,14.46,,,,,uk,false,25
2022-10-01,"3Xuq0acIoGEgw19qflIoog==",game 3,30.9,,,-3.42,,30.9,2022-11-01,uk,false,25
2022-03-01,"4b7l8C489HEJirtoe7xtFg==",game 3,27.15,27.15,,,,,,uk,true,20
2022-04-01,"4b7l8C489HEJirtoe7xtFg==",game 3,14.94,,,-12.21,,,,uk,true,20
2022-05-01,"4b7l8C489HEJirtoe7xtFg==",game 3,26.40,,11.46,,,,,uk,true,20
2022-06-01,"4b7l8C489HEJirtoe7xtFg==",game 3,22.83,,,-3.57,,,,uk,true,20
2022-07-01,"4b7l8C489HEJirtoe7xtFg==",game 3,89.28,,66.45,,,,,uk,true,20
2022-08-01,"4b7l8C489HEJirtoe7xtFg==",game 3,16.56,,,-72.72,,,,uk,true,20
2022-09-01,"4b7l8C489HEJirtoe7xtFg==",game 3,18.24,,1.68,,,18.24,2022-10-01,uk,true,20
2022-11-01,"4b7l8C489HEJirtoe7xtFg==",game 3,31.26,,,,31.26,,,uk,true,20
