"payment_month","user_id","game_name","revenue_amount","revenue_type","language","has_older_device_model","age"
2022-12-01,"54ouP7lBhVCeV8ftS1Oj4Q==",game 3,28.23,revenue,ru,false,21
2022-07-01,"5a/eDajN+4bJdigfI5TWoQ==",game 3,12.87,revenue,ru,false,17
2022-12-01,"5fGaUgWk82R8c6U6A5d9pg==",game 3,17.28,revenue,uk,false,31
2022-08-01,"5n2VR2SS79K3vJ0/V2A8RQ==",game 3,47.13,revenue,ru,false,27
2022-09-01,"5n2VR2SS79K3vJ0/V2A8RQ==",game 3,32.04,revenue,ru,false,27
2022-10-01,"6NexxpTuLaFmuoksJ0l8rg==",game 3,19.17,revenue,uk,false,24
2022-12-01,"6NexxpTuLaFmuoksJ0l8rg==",game 3,102.84,revenue,uk,false,24
2022-05-01,"6We7zBO7mVbNxGEl/xPKVg==",game 3,22.74,revenue,uk,false,19
2022-06-01,"6We7zBO7mVbNxGEl/xPKVg==",game 3,28.95,revenue,uk,false,19
2022-07-01,"6We7zBO7mVbNxGEl/xPKVg==",game 3,118.83,revenue,uk,false,19
2022-08-01,"6We7zBO7mVbNxGEl/xPKVg==",game 3,21.87,revenue,uk,false,19
2022-09-01,"6We7zBO7mVbNxGEl/xPKVg==",game 3,41.55,revenue,uk,false,19
2022-10-01,"6We7zBO7mVbNxGEl/xPKVg==",game 3,151.68,revenue,uk,false,19
2022-11-01,"6We7zBO7mVbNxGEl/xPKVg==",game 3,95.43,revenue,uk,false,19
2022-12-01,"6We7zBO7mVbNxGEl/xPKVg==",game 3,75.81,revenue,uk,false,19
2022-10-01,/70HXakPPmIGA9K58CIOug==,game 3,15.48,revenue,uk,false,18
2022-11-01,/70HXakPPmIGA9K58CIOug==,game 3,12.51,revenue,uk,false,18
2022-03-01,"72brUr/DKItStlTen5pHYg==",game 3,24.15,revenue,uk,false,24
2022-05-01,"72brUr/DKItStlTen5pHYg==",game 3,19.92,revenue,uk,false,24
2022-06-01,"72brUr/DKItStlTen5pHYg==",game 3,86.91,revenue,uk,false,24
2022-07-01,"72brUr/DKItStlTen5pHYg==",game 3,37.11,revenue,uk,false,24
2022-08-01,"72brUr/DKItStlTen5pHYg==",game 3,30.63,revenue,uk,false,24
2022-09-01,"72brUr/DKItStlTen5pHYg==",game 3,18.3,revenue,uk,false,24
2022-10-01,"72brUr/DKItStlTen5pHYg==",game 3,31.98,revenue,uk,false,24
2022-11-01,"72brUr/DKItStlTen5pHYg==",game 3,13.56,revenue,uk,false,24
2022-03-01,"75lEf3nSWLSf6GncqhR9gQ==",game 3,14.1,revenue,ru,false,22
2022-04-01,"75lEf3nSWLSf6GncqhR9gQ==",game 3,65.97,revenue,ru,false,22
2022-05-01,"75lEf3nSWLSf6GncqhR9gQ==",game 3,58.26,revenue,ru,false,22
2022-06-01,"75lEf3nSWLSf6GncqhR9gQ==",game 3,86.85,revenue,ru,false,22
2022-07-01,"75lEf3nSWLSf6GncqhR9gQ==",game 3,49.23,revenue,ru,false,22
2022-09-01,"75lEf3nSWLSf6GncqhR9gQ==",game 3,13.8,revenue,ru,false,22
2022-03-01,"787jk0VnxM8/sv/0TkvO6A==",game 3,48.45,revenue,uk,false,20
2022-04-01,"787jk0VnxM8/sv/0TkvO6A==",game 3,53.49,revenue,uk,false,20
2022-05-01,"787jk0VnxM8/sv/0TkvO6A==",game 3,36.75,revenue,uk,false,20
2022-06-01,"787jk0VnxM8/sv/0TkvO6A==",game 3,97.95,revenue,uk,false,20
2022-07-01,"787jk0VnxM8/sv/0TkvO6A==",game 3,21.48,revenue,uk,false,20
2022-08-01,"787jk0VnxM8/sv/0TkvO6A==",game 3,76.29,revenue,uk,false,20
2022-09-01,"787jk0VnxM8/sv/0TkvO6A==",game 3,50.61,revenue,uk,false,20
2022-10-01,"787jk0VnxM8/sv/0TkvO6A==",game 3,34.92,revenue,uk,false,20
2022-11-01,"787jk0VnxM8/sv/0TkvO6A==",game 3,33.30,revenue,uk,false,20
2022-12-01,"787jk0VnxM8/sv/0TkvO6A==",game 3,17.49,revenue,uk,false,20
2022-07-01,"7BqUeLmbiug63XrWs2+ZQQ==",game 3,61.41,revenue,ru,false,15
2022-08-01,"7BqUeLmbiug63XrWs2+ZQQ==",game 3,32.94,revenue,ru,false,15
2022-09-01,"7BqUeLmbiug63XrWs2+ZQQ==",game 3,14.01,revenue,ru,false,15
2022-10-01,"7BqUeLmbiug63XrWs2+ZQQ==",game 3,127.08,revenue,ru,false,15
2022-11-01,"7BqUeLmbiug63XrWs2+ZQQ==",game 3,22.41,revenue,ru,false,15
2022-12-01,"7BqUeLmbiug63XrWs2+ZQQ==",game 3,27.12,revenue,ru,false,15
2022-12-01,"7Em69vKH6zh6HgArCzG0+w==",game 3,72.18,revenue,ru,false,17
2022-03-01,"7EPlnA7OQ9MhMx+od6FA9g==",game 3,158.67,revenue,ru,false,23
2022-04-01,"7EPlnA7OQ9MhMx+od6FA9g==",game 3,114.15,revenue,ru,false,23
2022-05-01,"7EPlnA7OQ9MhMx+od6FA9g==",game 3,51.18,revenue,ru,false,23
2022-06-01,"7EPlnA7OQ9MhMx+od6FA9g==",game 3,12.39,revenue,ru,false,23
2022-08-01,"7EPlnA7OQ9MhMx+od6FA9g==",game 3,48.18,revenue,ru,false,23
2022-11-01,"7EPlnA7OQ9MhMx+od6FA9g==",game 3,14.43,revenue,ru,false,23
2022-12-01,"7EPlnA7OQ9MhMx+od6FA9g==",game 3,41.16,revenue,ru,false,23
2022-05-01,"7ew71UmoMb73L41PM/YL/w==",game 3,32.10,revenue,uk,false,17
2022-06-01,"7ew71UmoMb73L41PM/YL/w==",game 3,34.11,revenue,uk,false,17
2022-07-01,"7ew71UmoMb73L41PM/YL/w==",game 3,40.23,revenue,uk,false,17
2022-08-01,"7ew71UmoMb73L41PM/YL/w==",game 3,40.74,revenue,uk,false,17
2022-09-01,"7ew71UmoMb73L41PM/YL/w==",game 3,45.15,revenue,uk,false,17
2022-10-01,"7ew71UmoMb73L41PM/YL/w==",game 3,13.74,revenue,uk,false,17
2022-11-01,"7ew71UmoMb73L41PM/YL/w==",game 3,29.76,revenue,uk,false,17
2022-08-01,"7GCGwypiXsxGxetp6/KmnA==",game 3,30.21,revenue,uk,false,31
2022-09-01,"7GCGwypiXsxGxetp6/KmnA==",game 3,63.30,revenue,uk,false,31
2022-11-01,"7GCGwypiXsxGxetp6/KmnA==",game 3,45.00,revenue,uk,false,31
2022-03-01,"7GE5h/3N3lcro3K9T3aujw==",game 3,38.52,revenue,ru,false,32
2022-04-01,"7GE5h/3N3lcro3K9T3aujw==",game 3,58.20,revenue,ru,false,32
2022-05-01,"7GE5h/3N3lcro3K9T3aujw==",game 3,118.95,revenue,ru,false,32
2022-06-01,"7GE5h/3N3lcro3K9T3aujw==",game 3,144.75,revenue,ru,false,32
2022-07-01,"7GE5h/3N3lcro3K9T3aujw==",game 3,89.04,revenue,ru,false,32
2022-08-01,"7GE5h/3N3lcro3K9T3aujw==",game 3,104.70,revenue,ru,false,32
2022-09-01,"7GE5h/3N3lcro3K9T3aujw==",game 3,90.87,revenue,ru,false,32
2022-10-01,"7GE5h/3N3lcro3K9T3aujw==",game 3,77.64,revenue,ru,false,32
2022-12-01,"7iS0Md8Z5SFpqNAYOVcs4w==",game 3,68.64,revenue,uk,false,18
2022-12-01,"7L4SKPGMd33lnSOq6PWyYg==",game 3,70.14,revenue,uk,false,30
2022-04-01,"7luG+f1d+Ri4AjeMbFR1Xw==",game 3,16.92,revenue,uk,false,29
